freq,unit,deg_urb,rskpovth,geo,time,value
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2015,32.4
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,32.3
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,31.5
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,30.3
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,30.1
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,32.2
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2003,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2004,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2005,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2006,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2007,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2008,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2009,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2010,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2011,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2012,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2013,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2014,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2015,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2016,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2017,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2018,
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2019,30.0
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2020,32.0
Annual,Percentage,Cities,Below 60%,Euro area – 20 countries (2023-2025),2023,28.6
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2003,
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2004,
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2005,36.2
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2006,35.6
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2007,36.0
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2008,34.2
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2009,33.5
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2010,33.0
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2011,32.4
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2012,32.2
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2013,33.0
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2014,31.3
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2015,32.4
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2016,32.3
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2017,31.5
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2018,30.3
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2019,30.1
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2020,32.2
Annual,Percentage,Cities,Below 60%,Euro area - 19 countries  (2015-2022),2023,
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2003,
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2004,
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2005,36.2
Annual,Percentage,Cities,Below 60%,Euro area - 18 countries (2014),2006,35.6
