geo,year,crime_rate,noise_rate,pollution_rate,hpi_weight,happy_rate,deg_urb_Rural areas,deg_urb_Towns and suburbs,rskpovth_Below 60%,rskpovth_Total,crime_noise,poll_noise
Poland,2013,12.8,19.7,17.0,-4.4,8.0,False,False,False,True,252.16,334.9
Poland,2018,8.3,18.8,20.0,6.6,8.3,False,False,False,True,156.04000000000002,376.0
Poland,2023,6.1,14.0,11.8,8.8,8.0,False,False,False,True,85.39999999999999,165.20000000000002
Portugal,2013,19.1,29.5,18.1,-1.9,7.2,False,False,False,True,563.45,533.95
Portugal,2018,9.3,30.6,15.9,10.3,7.9,False,False,False,True,284.58000000000004,486.54
Portugal,2023,10.2,32.4,17.4,8.2,7.8,False,False,False,True,330.47999999999996,563.7599999999999
Romania,2013,17.7,36.1,24.7,-0.3,7.9,False,False,False,True,638.97,891.67
Romania,2018,14.6,27.1,22.6,5.6,8.6,False,False,False,True,395.66,612.46
Romania,2023,6.8,28.2,18.0,3.3,8.6,False,False,False,True,191.76,507.59999999999997
Slovenia,2013,17.2,16.6,18.6,-5.2,7.8,False,False,False,True,285.52000000000004,308.76000000000005
Slovenia,2018,11.6,19.1,19.3,8.7,8.4,False,False,False,True,221.56,368.63000000000005
Slovenia,2023,10.9,17.6,17.0,7.2,8.4,False,False,False,True,191.84000000000003,299.20000000000005
Slovakia,2013,12.1,18.2,17.6,0.8,7.9,False,False,False,True,220.22,320.32
Slovakia,2018,6.0,10.0,9.1,7.4,8.2,False,False,False,True,60.0,91.0
Slovakia,2023,6.0,12.2,7.6,-0.2,8.3,False,False,False,True,73.19999999999999,92.71999999999998
Finland,2013,12.7,18.5,10.7,1.2,8.5,False,False,False,True,234.95,197.95
Finland,2018,10.7,17.8,10.7,0.9,8.3,False,False,False,True,190.46,190.46
Finland,2023,16.7,29.6,13.3,-6.2,7.7,False,False,False,True,494.32,393.68000000000006
Sweden,2013,14.2,16.6,11.8,5.2,7.9,False,False,False,True,235.72,195.88000000000002
Sweden,2018,17.8,19.5,9.4,-0.9,7.8,False,False,False,True,347.1,183.3
Sweden,2023,13.3,12.8,6.2,-5.2,7.5,False,False,False,True,170.24,79.36000000000001
Iceland,2013,2.6,13.4,10.9,5.8,8.2,False,False,False,True,34.84,146.06
Iceland,2018,3.6,12.4,8.9,8.2,8.5,False,False,False,True,44.64,110.36000000000001
Norway,2013,6.1,13.1,8.2,4.3,8.0,False,False,False,True,79.91,107.41999999999999
Norway,2018,7.4,17.1,11.7,1.6,7.9,False,False,False,True,126.54000000000002,200.07
Norway,2023,9.5,16.3,10.0,1.3,7.7,False,False,False,True,154.85,163.0
Switzerland,2018,11.4,22.9,12.5,3.0,8.0,False,False,False,True,261.06,286.25
Switzerland,2023,12.6,24.0,10.3,2.2,7.7,False,False,False,True,302.4,247.20000000000002
United Kingdom,2013,22.1,19.5,10.4,2.6,7.5,False,False,False,True,430.95000000000005,202.8
United Kingdom,2018,30.8,23.3,16.3,3.3,7.7,False,False,False,True,717.64,379.79
Belgium,2013,17.4,15.9,11.9,1.5,8.1,False,True,True,False,276.65999999999997,189.21
Belgium,2018,13.4,15.7,13.1,3.0,8.1,False,True,True,False,210.38,205.67
Belgium,2023,10.7,16.7,9.9,2.3,8.0,False,True,True,False,178.68999999999997,165.33
Bulgaria,2013,33.6,23.2,28.2,-2.2,6.2,False,True,True,False,779.52,654.24
Bulgaria,2018,19.6,13.7,17.5,6.6,6.9,False,True,True,False,268.52,239.75
Bulgaria,2023,17.9,12.4,16.3,9.9,7.1,False,True,True,False,221.95999999999998,202.12
