freq,unit,na_item,geo,time,value
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2013,6130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2014,6260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2015,6560.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2016,6840.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2017,7130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2018,7390.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2019,7780.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2020,7610.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2021,8260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2022,8660.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2023,8830.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2024,9140.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Bulgaria,2025,9440.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1995,17530.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1996,17470.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1997,17680.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1998,18530.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,1999,19240.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2000,20180.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2001,20750.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2002,21270.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2003,21570.0
