freq,purchase,unit,geo,year,hpi_weight
Annual,Total,"Annual average index, 2010=100",Lithuania,2022,231.64
Annual,Total,"Annual average index, 2010=100",Lithuania,2023,254.37
Annual,Total,"Annual average index, 2010=100",Lithuania,2024,279.11
Annual,Total,"Annual average index, 2010=100",Lithuania,2025,306.54
Annual,Total,"Annual average index, 2010=100",Luxembourg,2007,92.86
Annual,Total,"Annual average index, 2010=100",Luxembourg,2008,95.96
Annual,Total,"Annual average index, 2010=100",Luxembourg,2009,94.86
Annual,Total,"Annual average index, 2010=100",Luxembourg,2010,100.0
Annual,Total,"Annual average index, 2010=100",Luxembourg,2011,103.68
Annual,Total,"Annual average index, 2010=100",Luxembourg,2012,108.03
Annual,Total,"Annual average index, 2010=100",Luxembourg,2013,113.42
Annual,Total,"Annual average index, 2010=100",Luxembourg,2014,118.39
Annual,Total,"Annual average index, 2010=100",Luxembourg,2015,124.78
Annual,Total,"Annual average index, 2010=100",Luxembourg,2016,132.28
Annual,Total,"Annual average index, 2010=100",Luxembourg,2017,139.7
Annual,Total,"Annual average index, 2010=100",Luxembourg,2018,149.56
Annual,Total,"Annual average index, 2010=100",Luxembourg,2019,164.69
Annual,Total,"Annual average index, 2010=100",Luxembourg,2020,188.56
Annual,Total,"Annual average index, 2010=100",Luxembourg,2021,214.81
Annual,Total,"Annual average index, 2010=100",Luxembourg,2022,235.33
Annual,Total,"Annual average index, 2010=100",Luxembourg,2023,213.98
Annual,Total,"Annual average index, 2010=100",Luxembourg,2024,202.77
Annual,Total,"Annual average index, 2010=100",Luxembourg,2025,206.03
Annual,Total,"Annual average index, 2010=100",Hungary,2007,105.61
Annual,Total,"Annual average index, 2010=100",Hungary,2008,108.12
Annual,Total,"Annual average index, 2010=100",Hungary,2009,102.45
Annual,Total,"Annual average index, 2010=100",Hungary,2010,100.0
Annual,Total,"Annual average index, 2010=100",Hungary,2011,96.57
Annual,Total,"Annual average index, 2010=100",Hungary,2012,93.0
Annual,Total,"Annual average index, 2010=100",Hungary,2013,90.62
Annual,Total,"Annual average index, 2010=100",Hungary,2014,94.41
Annual,Total,"Annual average index, 2010=100",Hungary,2015,106.77
Annual,Total,"Annual average index, 2010=100",Hungary,2016,121.06
Annual,Total,"Annual average index, 2010=100",Hungary,2017,135.86
Annual,Total,"Annual average index, 2010=100",Hungary,2018,155.35
Annual,Total,"Annual average index, 2010=100",Hungary,2019,181.69
Annual,Total,"Annual average index, 2010=100",Hungary,2020,190.67
Annual,Total,"Annual average index, 2010=100",Hungary,2021,222.12
Annual,Total,"Annual average index, 2010=100",Hungary,2022,271.75
Annual,Total,"Annual average index, 2010=100",Hungary,2023,291.0
Annual,Total,"Annual average index, 2010=100",Hungary,2024,330.84
Annual,Total,"Annual average index, 2010=100",Hungary,2025,391.44
Annual,Total,"Annual average index, 2010=100",Malta,2005,64.19
Annual,Total,"Annual average index, 2010=100",Malta,2006,76.94
Annual,Total,"Annual average index, 2010=100",Malta,2007,93.09
Annual,Total,"Annual average index, 2010=100",Malta,2008,103.41
Annual,Total,"Annual average index, 2010=100",Malta,2009,98.94
Annual,Total,"Annual average index, 2010=100",Malta,2010,100.0
Annual,Total,"Annual average index, 2010=100",Malta,2011,98.64
Annual,Total,"Annual average index, 2010=100",Malta,2012,101.65
Annual,Total,"Annual average index, 2010=100",Malta,2013,101.23
Annual,Total,"Annual average index, 2010=100",Malta,2014,103.82
Annual,Total,"Annual average index, 2010=100",Malta,2015,109.85
Annual,Total,"Annual average index, 2010=100",Malta,2016,115.84
Annual,Total,"Annual average index, 2010=100",Malta,2017,121.96
Annual,Total,"Annual average index, 2010=100",Malta,2018,129.01
Annual,Total,"Annual average index, 2010=100",Malta,2019,136.92
Annual,Total,"Annual average index, 2010=100",Malta,2020,141.55
Annual,Total,"Annual average index, 2010=100",Malta,2021,148.77
Annual,Total,"Annual average index, 2010=100",Malta,2022,158.67
Annual,Total,"Annual average index, 2010=100",Malta,2023,168.53
Annual,Total,"Annual average index, 2010=100",Malta,2024,179.89
Annual,Total,"Annual average index, 2010=100",Malta,2025,190.54
Annual,Total,"Annual average index, 2010=100",Netherlands,2005,95.36
Annual,Total,"Annual average index, 2010=100",Netherlands,2006,99.41
Annual,Total,"Annual average index, 2010=100",Netherlands,2007,104.22
Annual,Total,"Annual average index, 2010=100",Netherlands,2008,106.52
Annual,Total,"Annual average index, 2010=100",Netherlands,2009,101.78
Annual,Total,"Annual average index, 2010=100",Netherlands,2010,100.0
Annual,Total,"Annual average index, 2010=100",Netherlands,2011,98.03
Annual,Total,"Annual average index, 2010=100",Netherlands,2012,91.46
Annual,Total,"Annual average index, 2010=100",Netherlands,2013,85.94
Annual,Total,"Annual average index, 2010=100",Netherlands,2014,86.66
Annual,Total,"Annual average index, 2010=100",Netherlands,2015,89.71
Annual,Total,"Annual average index, 2010=100",Netherlands,2016,94.45
Annual,Total,"Annual average index, 2010=100",Netherlands,2017,102.09
Annual,Total,"Annual average index, 2010=100",Netherlands,2018,111.6
Annual,Total,"Annual average index, 2010=100",Netherlands,2019,119.65
Annual,Total,"Annual average index, 2010=100",Netherlands,2020,129.24
Annual,Total,"Annual average index, 2010=100",Netherlands,2021,147.96
Annual,Total,"Annual average index, 2010=100",Netherlands,2022,167.61
Annual,Total,"Annual average index, 2010=100",Netherlands,2023,164.39
Annual,Total,"Annual average index, 2010=100",Netherlands,2024,177.84
Annual,Total,"Annual average index, 2010=100",Netherlands,2025,192.93
Annual,Total,"Annual average index, 2010=100",Austria,2010,100.0
Annual,Total,"Annual average index, 2010=100",Austria,2011,105.36
Annual,Total,"Annual average index, 2010=100",Austria,2012,112.34
Annual,Total,"Annual average index, 2010=100",Austria,2013,117.94
Annual,Total,"Annual average index, 2010=100",Austria,2014,122.44
Annual,Total,"Annual average index, 2010=100",Austria,2015,129.33
Annual,Total,"Annual average index, 2010=100",Austria,2016,138.0
Annual,Total,"Annual average index, 2010=100",Austria,2017,145.02
Annual,Total,"Annual average index, 2010=100",Austria,2018,153.68
Annual,Total,"Annual average index, 2010=100",Austria,2019,162.91
Annual,Total,"Annual average index, 2010=100",Austria,2020,175.25
Annual,Total,"Annual average index, 2010=100",Austria,2021,195.3
Annual,Total,"Annual average index, 2010=100",Austria,2022,217.9
Annual,Total,"Annual average index, 2010=100",Austria,2023,211.68
Annual,Total,"Annual average index, 2010=100",Austria,2024,210.88
Annual,Total,"Annual average index, 2010=100",Austria,2025,216.4
Annual,Total,"Annual average index, 2010=100",Poland,2010,100.0
Annual,Total,"Annual average index, 2010=100",Poland,2011,100.07
Annual,Total,"Annual average index, 2010=100",Poland,2012,96.58
Annual,Total,"Annual average index, 2010=100",Poland,2013,92.35
Annual,Total,"Annual average index, 2010=100",Poland,2014,93.27
Annual,Total,"Annual average index, 2010=100",Poland,2015,94.69
Annual,Total,"Annual average index, 2010=100",Poland,2016,96.45
Annual,Total,"Annual average index, 2010=100",Poland,2017,100.16
Annual,Total,"Annual average index, 2010=100",Poland,2018,106.75
Annual,Total,"Annual average index, 2010=100",Poland,2019,116.01
Annual,Total,"Annual average index, 2010=100",Poland,2020,128.17
Annual,Total,"Annual average index, 2010=100",Poland,2021,139.92
Annual,Total,"Annual average index, 2010=100",Poland,2022,156.43
Annual,Total,"Annual average index, 2010=100",Poland,2023,170.23
Annual,Total,"Annual average index, 2010=100",Poland,2024,195.72
Annual,Total,"Annual average index, 2010=100",Poland,2025,205.28
Annual,Total,"Annual average index, 2010=100",Portugal,2008,100.16
