freq,unit,deg_urb,rskpovth,geo,year,crime_rate
Annual,Percentage,Cities,Below 60%,Cyprus,2008,10.4
Annual,Percentage,Cities,Below 60%,Cyprus,2009,6.8
Annual,Percentage,Cities,Below 60%,Cyprus,2010,13.0
Annual,Percentage,Cities,Below 60%,Cyprus,2011,14.4
Annual,Percentage,Cities,Below 60%,Cyprus,2012,11.5
Annual,Percentage,Cities,Below 60%,Cyprus,2013,9.0
Annual,Percentage,Cities,Below 60%,Cyprus,2014,9.8
Annual,Percentage,Cities,Below 60%,Cyprus,2015,7.9
Annual,Percentage,Cities,Below 60%,Cyprus,2016,8.8
Annual,Percentage,Cities,Below 60%,Cyprus,2017,12.3
Annual,Percentage,Cities,Below 60%,Cyprus,2018,9.4
Annual,Percentage,Cities,Below 60%,Cyprus,2019,12.3
Annual,Percentage,Cities,Below 60%,Cyprus,2020,4.0
Annual,Percentage,Cities,Below 60%,Cyprus,2023,6.9
Annual,Percentage,Cities,Below 60%,Latvia,2005,33.5
Annual,Percentage,Cities,Below 60%,Latvia,2006,26.3
Annual,Percentage,Cities,Below 60%,Latvia,2007,35.5
Annual,Percentage,Cities,Below 60%,Latvia,2008,32.7
Annual,Percentage,Cities,Below 60%,Latvia,2009,33.4
Annual,Percentage,Cities,Below 60%,Latvia,2010,32.2
Annual,Percentage,Cities,Below 60%,Latvia,2011,28.2
Annual,Percentage,Cities,Below 60%,Latvia,2012,22.0
Annual,Percentage,Cities,Below 60%,Latvia,2013,16.8
Annual,Percentage,Cities,Below 60%,Latvia,2014,22.1
Annual,Percentage,Cities,Below 60%,Latvia,2015,19.7
Annual,Percentage,Cities,Below 60%,Latvia,2016,17.3
Annual,Percentage,Cities,Below 60%,Latvia,2017,13.1
Annual,Percentage,Cities,Below 60%,Latvia,2018,15.5
Annual,Percentage,Cities,Below 60%,Latvia,2019,7.9
Annual,Percentage,Cities,Below 60%,Latvia,2020,11.3
Annual,Percentage,Cities,Below 60%,Latvia,2023,10.2
Annual,Percentage,Cities,Below 60%,Lithuania,2005,18.0
Annual,Percentage,Cities,Below 60%,Lithuania,2006,16.2
Annual,Percentage,Cities,Below 60%,Lithuania,2007,13.7
Annual,Percentage,Cities,Below 60%,Lithuania,2008,13.1
Annual,Percentage,Cities,Below 60%,Lithuania,2009,14.8
Annual,Percentage,Cities,Below 60%,Lithuania,2010,14.5
Annual,Percentage,Cities,Below 60%,Lithuania,2011,12.0
Annual,Percentage,Cities,Below 60%,Lithuania,2012,12.6
Annual,Percentage,Cities,Below 60%,Lithuania,2013,12.3
Annual,Percentage,Cities,Below 60%,Lithuania,2014,5.9
Annual,Percentage,Cities,Below 60%,Lithuania,2015,8.8
Annual,Percentage,Cities,Below 60%,Lithuania,2016,9.6
Annual,Percentage,Cities,Below 60%,Lithuania,2017,20.6
Annual,Percentage,Cities,Below 60%,Lithuania,2018,5.1
Annual,Percentage,Cities,Below 60%,Lithuania,2019,4.4
Annual,Percentage,Cities,Below 60%,Lithuania,2020,7.2
Annual,Percentage,Cities,Below 60%,Lithuania,2023,7.8
Annual,Percentage,Cities,Below 60%,Luxembourg,2003,18.2
Annual,Percentage,Cities,Below 60%,Luxembourg,2004,20.3
Annual,Percentage,Cities,Below 60%,Luxembourg,2005,18.9
Annual,Percentage,Cities,Below 60%,Luxembourg,2006,23.1
Annual,Percentage,Cities,Below 60%,Luxembourg,2007,12.9
Annual,Percentage,Cities,Below 60%,Luxembourg,2008,15.0
