freq,unit,quantile,hhcomp,geo,time,value
Annual,Percentage,Total,Total,Greece,2022,11.3
Annual,Percentage,Total,Total,Greece,2023,12.3
Annual,Percentage,Total,Total,Greece,2024,12.7
Annual,Percentage,Total,Total,Greece,2025,12.5
Annual,Percentage,Total,Total,Spain,2010,62.0
Annual,Percentage,Total,Total,Spain,2011,54.7
Annual,Percentage,Total,Total,Spain,2012,57.7
Annual,Percentage,Total,Total,Spain,2013,56.9
Annual,Percentage,Total,Total,Spain,2014,57.1
Annual,Percentage,Total,Total,Spain,2015,57.9
Annual,Percentage,Total,Total,Spain,2016,55.7
Annual,Percentage,Total,Total,Spain,2017,55.9
Annual,Percentage,Total,Total,Spain,2018,56.3
Annual,Percentage,Total,Total,Spain,2019,55.4
Annual,Percentage,Total,Total,Spain,2020,53.8
Annual,Percentage,Total,Total,Spain,2021,58.5
Annual,Percentage,Total,Total,Spain,2022,58.2
Annual,Percentage,Total,Total,Spain,2023,57.1
Annual,Percentage,Total,Total,Spain,2024,55.4
Annual,Percentage,Total,Total,Spain,2025,54.3
Annual,Percentage,Total,Total,France,2010,41.0
Annual,Percentage,Total,Total,France,2011,42.9
Annual,Percentage,Total,Total,France,2012,43.1
Annual,Percentage,Total,Total,France,2013,44.2
Annual,Percentage,Total,Total,France,2014,43.8
Annual,Percentage,Total,Total,France,2015,43.5
Annual,Percentage,Total,Total,France,2016,43.3
Annual,Percentage,Total,Total,France,2017,43.2
Annual,Percentage,Total,Total,France,2018,43.6
Annual,Percentage,Total,Total,France,2019,43.8
Annual,Percentage,Total,Total,France,2020,42.2
Annual,Percentage,Total,Total,France,2021,41.8
Annual,Percentage,Total,Total,France,2022,41.6
Annual,Percentage,Total,Total,France,2023,40.2
Annual,Percentage,Total,Total,France,2024,40.0
Annual,Percentage,Total,Total,France,2025,40.4
Annual,Percentage,Total,Total,Croatia,2010,9.1
Annual,Percentage,Total,Total,Croatia,2011,8.6
Annual,Percentage,Total,Total,Croatia,2012,8.1
Annual,Percentage,Total,Total,Croatia,2013,8.4
Annual,Percentage,Total,Total,Croatia,2014,9.1
Annual,Percentage,Total,Total,Croatia,2015,10.1
Annual,Percentage,Total,Total,Croatia,2016,10.4
Annual,Percentage,Total,Total,Croatia,2017,11.0
Annual,Percentage,Total,Total,Croatia,2018,11.6
Annual,Percentage,Total,Total,Croatia,2019,12.0
Annual,Percentage,Total,Total,Croatia,2020,12.7
Annual,Percentage,Total,Total,Croatia,2021,13.8
Annual,Percentage,Total,Total,Croatia,2022,14.7
Annual,Percentage,Total,Total,Croatia,2023,15.2
Annual,Percentage,Total,Total,Croatia,2024,14.6
Annual,Percentage,Total,Total,Croatia,2025,14.7
Annual,Percentage,Total,Total,Italy,2010,19.0
Annual,Percentage,Total,Total,Italy,2011,16.6
Annual,Percentage,Total,Total,Italy,2012,15.7
Annual,Percentage,Total,Total,Italy,2013,15.4
Annual,Percentage,Total,Total,Italy,2014,15.5
Annual,Percentage,Total,Total,Italy,2015,15.5
Annual,Percentage,Total,Total,Italy,2016,14.9
Annual,Percentage,Total,Total,Italy,2017,15.3
Annual,Percentage,Total,Total,Italy,2018,14.9
Annual,Percentage,Total,Total,Italy,2019,14.2
Annual,Percentage,Total,Total,Italy,2020,15.9
Annual,Percentage,Total,Total,Italy,2021,15.4
Annual,Percentage,Total,Total,Italy,2022,16.6
Annual,Percentage,Total,Total,Italy,2023,16.1
Annual,Percentage,Total,Total,Italy,2024,17.1
Annual,Percentage,Total,Total,Italy,2025,18.2
Annual,Percentage,Total,Total,Cyprus,2010,70.2
Annual,Percentage,Total,Total,Cyprus,2011,70.0
Annual,Percentage,Total,Total,Cyprus,2012,70.8
Annual,Percentage,Total,Total,Cyprus,2013,71.0
Annual,Percentage,Total,Total,Cyprus,2014,69.7
Annual,Percentage,Total,Total,Cyprus,2015,71.1
Annual,Percentage,Total,Total,Cyprus,2016,69.6
Annual,Percentage,Total,Total,Cyprus,2017,70.8
Annual,Percentage,Total,Total,Cyprus,2018,71.4
Annual,Percentage,Total,Total,Cyprus,2019,70.2
Annual,Percentage,Total,Total,Cyprus,2020,70.4
Annual,Percentage,Total,Total,Cyprus,2021,72.2
Annual,Percentage,Total,Total,Cyprus,2022,69.8
Annual,Percentage,Total,Total,Cyprus,2023,71.1
Annual,Percentage,Total,Total,Cyprus,2024,70.1
Annual,Percentage,Total,Total,Cyprus,2025,69.4
Annual,Percentage,Total,Total,Latvia,2010,5.6
Annual,Percentage,Total,Total,Latvia,2011,9.8
Annual,Percentage,Total,Total,Latvia,2012,13.1
Annual,Percentage,Total,Total,Latvia,2013,13.2
Annual,Percentage,Total,Total,Latvia,2014,12.2
Annual,Percentage,Total,Total,Latvia,2015,11.1
Annual,Percentage,Total,Total,Latvia,2016,9.6
Annual,Percentage,Total,Total,Latvia,2017,10.2
Annual,Percentage,Total,Total,Latvia,2018,9.9
Annual,Percentage,Total,Total,Latvia,2019,9.6
Annual,Percentage,Total,Total,Latvia,2020,10.3
Annual,Percentage,Total,Total,Latvia,2021,10.1
Annual,Percentage,Total,Total,Latvia,2022,9.4
Annual,Percentage,Total,Total,Latvia,2023,9.8
Annual,Percentage,Total,Total,Latvia,2024,9.7
Annual,Percentage,Total,Total,Latvia,2025,10.5
Annual,Percentage,Total,Total,Lithuania,2010,8.6
Annual,Percentage,Total,Total,Lithuania,2011,24.4
Annual,Percentage,Total,Total,Lithuania,2012,24.6
Annual,Percentage,Total,Total,Lithuania,2013,19.2
Annual,Percentage,Total,Total,Lithuania,2014,19.1
Annual,Percentage,Total,Total,Lithuania,2015,20.1
Annual,Percentage,Total,Total,Lithuania,2016,22.7
Annual,Percentage,Total,Total,Lithuania,2017,23.0
Annual,Percentage,Total,Total,Lithuania,2018,24.3
Annual,Percentage,Total,Total,Lithuania,2019,24.5
Annual,Percentage,Total,Total,Lithuania,2020,27.5
Annual,Percentage,Total,Total,Lithuania,2021,21.8
Annual,Percentage,Total,Total,Lithuania,2022,21.7
Annual,Percentage,Total,Total,Lithuania,2023,20.3
Annual,Percentage,Total,Total,Lithuania,2024,17.6
Annual,Percentage,Total,Total,Lithuania,2025,18.0
Annual,Percentage,Total,Total,Luxembourg,2010,59.1
Annual,Percentage,Total,Total,Luxembourg,2011,59.4
Annual,Percentage,Total,Total,Luxembourg,2012,58.8
Annual,Percentage,Total,Total,Luxembourg,2013,58.2
Annual,Percentage,Total,Total,Luxembourg,2014,58.0
Annual,Percentage,Total,Total,Luxembourg,2015,56.0
Annual,Percentage,Total,Total,Luxembourg,2016,54.1
Annual,Percentage,Total,Total,Luxembourg,2017,55.5
Annual,Percentage,Total,Total,Luxembourg,2018,53.7
Annual,Percentage,Total,Total,Luxembourg,2019,54.0
Annual,Percentage,Total,Total,Luxembourg,2020,49.9
