freq,citizen,agedef,age,unit,sex,geo,time,value
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2013,307454.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2014,277631.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2015,280078.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2016,300823.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2017,343440.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2018,332324.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2019,332778.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2020,247526.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2021,318366.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2022,410985.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2023,439658.0
Annual,Total,Age reached during the year,Total,Number,Total,Italy,2024,451583.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2013,13666.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2014,13003.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2015,15364.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2016,18590.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2017,22458.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2018,25740.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2019,27553.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2020,22850.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2021,25473.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2022,37558.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2023,40761.0
Annual,Total,Age reached during the year,Total,Number,Total,Cyprus,2024,40471.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2013,8299.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2014,10365.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2015,9479.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2016,8345.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2017,9916.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2018,10909.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2019,11223.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2020,8840.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2021,12689.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2022,38708.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2023,15629.0
Annual,Total,Age reached during the year,Total,Number,Total,Latvia,2024,14701.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2013,30924.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2014,33544.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2015,31085.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2016,31395.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2017,33305.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2018,37420.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2019,46526.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2020,46020.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2021,44858.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2022,87367.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2023,66682.0
Annual,Total,Age reached during the year,Total,Number,Total,Lithuania,2024,51845.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2013,21098.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2014,22332.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2015,23803.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2016,22888.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2017,24379.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2018,24644.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2019,26668.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2020,22490.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2021,25335.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2022,31433.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2023,26964.0
Annual,Total,Age reached during the year,Total,Number,Total,Luxembourg,2024,25725.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2013,38968.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2014,54581.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2015,58344.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2016,53618.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2017,68070.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2018,82937.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2019,88581.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2020,75470.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2021,80471.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2022,94148.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2023,96192.0
Annual,Total,Age reached during the year,Total,Number,Total,Hungary,2024,88418.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2013,12446.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2014,15928.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2015,18202.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2016,18116.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2017,22750.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2018,27394.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2019,29304.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2020,14751.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2021,16963.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2022,34964.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2023,42239.0
Annual,Total,Age reached during the year,Total,Number,Total,Malta,2024,34033.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2013,129428.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2014,145323.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2015,166872.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2016,189232.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2017,189646.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2018,194306.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2019,215756.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2020,182244.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2021,214105.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2022,326798.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2023,274597.0
Annual,Total,Age reached during the year,Total,Number,Total,Netherlands,2024,257714.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2013,101866.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2014,116262.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2015,166323.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2016,129509.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2017,111801.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2018,105633.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2019,109167.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2020,103565.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2021,118511.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2022,201622.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2023,147591.0
Annual,Total,Age reached during the year,Total,Number,Total,Austria,2024,128805.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2013,220311.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2014,222275.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2015,218147.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2016,208302.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2017,209353.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2018,214083.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2019,226649.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2020,210615.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2021,241116.0
Annual,Total,Age reached during the year,Total,Number,Total,Poland,2022,275515.0
