geo,year,noise_rate,pollution_rate,crime_rate,hpi_weight
Denmark,2017,22.422222222222224,8.544444444444444,8.544444444444444,78.60666666666667
Denmark,2018,22.07777777777778,9.444444444444445,8.555555555555555,81.79666666666667
Denmark,2019,21.755555555555556,8.733333333333333,7.911111111111111,82.84666666666666
Denmark,2020,20.3,10.3,7.366666666666666,87.08333333333333
Denmark,2023,16.72222222222222,8.744444444444445,6.699999999999999,94.97333333333334
Estonia,2005,20.7875,18.9875,22.8,75.67999999999999
Estonia,2006,18.6,17.85,19.3375,91.92666666666666
Estonia,2007,20.866666666666667,26.88888888888889,23.966666666666665,98.02
Estonia,2008,17.422222222222224,23.522222222222222,18.12222222222222,79.12666666666667
Estonia,2009,13.055555555555555,12.855555555555556,15.122222222222222,39.3
Estonia,2010,12.155555555555557,16.644444444444446,18.688888888888886,56.53333333333333
Estonia,2011,13.11111111111111,23.533333333333335,14.877777777777778,62.10333333333333
Estonia,2012,13.455555555555556,12.322222222222223,16.188888888888886,66.02
Estonia,2013,10.100000000000001,10.066666666666666,12.955555555555556,73.92666666666666
Estonia,2014,10.68888888888889,12.466666666666667,14.18888888888889,84.57666666666667
Estonia,2015,9.355555555555556,9.522222222222222,12.822222222222223,87.8
Estonia,2016,10.344444444444443,9.655555555555557,9.3,91.12333333333333
Estonia,2017,8.333333333333334,9.355555555555556,6.722222222222222,96.32
Estonia,2018,7.6000000000000005,7.522222222222222,6.844444444444445,102.05666666666666
Estonia,2019,6.666666666666667,8.766666666666667,5.644444444444444,109.43666666666667
Estonia,2020,7.2555555555555555,7.155555555555556,5.344444444444445,115.53333333333335
Estonia,2023,8.788888888888888,9.177777777777777,3.788888888888889,171.01666666666665
Finland,2005,19.6,14.033333333333333,20.055555555555557,78.735
Finland,2006,19.322222222222223,13.744444444444445,18.455555555555556,58.47666666666667
Finland,2007,18.922222222222224,15.177777777777777,16.48888888888889,61.42333333333334
Finland,2008,18.988888888888887,14.688888888888888,16.822222222222223,60.196666666666665
Finland,2009,17.98888888888889,11.133333333333333,17.766666666666666,61.26
Finland,2010,16.288888888888888,9.844444444444443,12.011111111111111,66.72666666666667
Finland,2011,15.61111111111111,9.133333333333333,10.622222222222222,67.75
Finland,2012,16.855555555555554,9.133333333333333,11.777777777777779,69.09333333333333
Finland,2013,15.155555555555557,8.788888888888888,9.855555555555556,69.48
Finland,2014,14.055555555555555,8.944444444444445,7.544444444444445,68.70333333333333
Finland,2015,12.911111111111111,8.433333333333334,7.844444444444444,68.83999999999999
Finland,2016,13.11111111111111,7.01111111111111,7.1,70.16000000000001
Finland,2017,14.311111111111112,7.855555555555556,6.555555555555555,70.85000000000001
Finland,2018,14.311111111111112,8.399999999999999,7.044444444444444,71.43666666666667
Finland,2019,13.122222222222222,9.066666666666666,6.733333333333333,71.56666666666666
Finland,2020,15.233333333333333,9.31111111111111,8.333333333333334,73.29333333333334
Finland,2023,25.27777777777778,9.222222222222221,12.022222222222222,69.92666666666666
France,2005,18.855555555555554,15.677777777777777,15.511111111111111,84.83
France,2006,18.977777777777778,14.0,14.655555555555557,66.95666666666666
France,2007,18.066666666666666,14.488888888888889,14.988888888888889,69.26666666666667
France,2008,16.866666666666667,12.644444444444444,13.655555555555557,68.06666666666666
France,2009,17.255555555555556,11.655555555555557,13.744444444444445,61.596666666666664
France,2010,17.700000000000003,12.233333333333333,15.422222222222224,68.11333333333333
France,2011,17.62222222222222,10.522222222222222,14.42222222222222,72.29666666666667
France,2012,18.233333333333334,11.488888888888889,14.966666666666665,69.84333333333333
France,2013,17.055555555555557,11.477777777777778,17.11111111111111,68.07666666666667
France,2014,18.244444444444444,12.18888888888889,14.788888888888888,67.16000000000001
France,2015,18.51111111111111,11.655555555555557,14.444444444444445,66.32000000000001
France,2016,18.955555555555556,14.022222222222222,15.666666666666666,67.78333333333335
France,2017,17.8,12.488888888888889,14.47777777777778,70.64999999999999
France,2018,18.522222222222222,14.133333333333333,14.52222222222222,72.58666666666666
France,2019,19.0,15.133333333333333,16.022222222222222,75.10000000000001
France,2020,22.733333333333334,19.366666666666667,18.98888888888889,79.58
France,2023,22.133333333333333,16.799999999999997,15.38888888888889,87.48666666666666
Germany,2005,25.48888888888889,20.266666666666666,9.988888888888889,91.35
Germany,2006,27.88888888888889,22.166666666666668,11.677777777777777,60.53333333333333
Germany,2007,26.0,19.866666666666667,11.777777777777779,58.666666666666664
Germany,2008,25.855555555555554,20.98888888888889,12.5,60.63333333333333
Germany,2009,25.977777777777778,21.455555555555556,12.755555555555555,60.93333333333334
Germany,2010,25.799999999999997,19.9,11.977777777777778,61.63333333333333
Germany,2011,26.255555555555556,21.933333333333334,12.644444444444444,64.60000000000001
Germany,2012,27.355555555555554,22.644444444444446,13.233333333333333,66.76666666666667
Germany,2013,26.922222222222224,22.255555555555556,14.133333333333333,68.7
Germany,2014,26.677777777777777,22.755555555555556,13.444444444444445,70.83333333333333
Germany,2015,26.95555555555556,23.27777777777778,14.044444444444444,74.66666666666667
Germany,2016,25.72222222222222,23.044444444444444,14.366666666666667,81.06666666666666
Germany,2017,27.022222222222222,24.544444444444444,14.433333333333334,85.43333333333334
Germany,2018,28.22222222222222,24.133333333333333,13.944444444444445,91.13333333333333
Germany,2019,26.91111111111111,24.811111111111114,13.566666666666666,96.0
Germany,2020,21.688888888888886,13.055555555555555,7.5,103.96666666666665
Germany,2023,23.8,14.966666666666665,9.566666666666666,107.06666666666668
Hungary,2007,16.333333333333332,14.322222222222223,15.155555555555557,102.25999999999999
Hungary,2008,14.044444444444444,11.677777777777777,14.5,70.59333333333333
Hungary,2009,15.211111111111112,13.511111111111111,14.97777777777778,64.4
Hungary,2010,13.822222222222223,12.955555555555556,14.377777777777778,63.75333333333333
Hungary,2011,11.38888888888889,13.533333333333333,13.211111111111112,61.20666666666667
Hungary,2012,11.333333333333334,12.722222222222221,12.566666666666666,58.800000000000004
Hungary,2013,15.177777777777777,16.344444444444445,15.166666666666666,57.63
Hungary,2014,16.733333333333334,17.11111111111111,17.655555555555555,62.346666666666664
Hungary,2015,16.433333333333334,17.299999999999997,14.0,73.29
Hungary,2016,14.555555555555555,16.311111111111114,11.9,82.61333333333333
Hungary,2017,12.788888888888888,14.633333333333333,8.81111111111111,91.76666666666667
Hungary,2018,9.988888888888889,11.644444444444444,6.866666666666666,105.05
Hungary,2019,11.966666666666667,14.811111111111112,6.433333333333334,122.95333333333333
Hungary,2020,12.077777777777778,14.58888888888889,7.588888888888889,124.71666666666665
Hungary,2023,10.255555555555555,15.100000000000001,7.288888888888888,190.21333333333334
Iceland,2005,11.833333333333334,7.283333333333334,3.0833333333333335,72.37
Iceland,2006,12.633333333333333,8.966666666666667,2.283333333333333,61.96333333333334
Iceland,2007,12.133333333333333,10.75,3.233333333333334,64.79
Iceland,2008,12.016666666666666,9.700000000000001,3.233333333333333,67.56
Iceland,2009,11.299999999999999,10.583333333333334,4.233333333333333,55.903333333333336
Iceland,2010,13.166666666666666,10.6,3.25,56.339999999999996
Iceland,2011,12.5,10.700000000000001,2.0500000000000003,61.53333333333333
Iceland,2012,12.516666666666666,8.1,3.766666666666667,66.44333333333333
Iceland,2013,13.25,9.6,1.9500000000000002,69.77333333333333
Iceland,2014,12.61111111111111,9.3,2.1555555555555554,76.35666666666667
Iceland,2015,11.18888888888889,10.922222222222222,2.433333333333333,82.35
Iceland,2016,10.344444444444445,6.522222222222222,1.9000000000000001,90.66000000000001
Iceland,2017,10.144444444444444,7.788888888888888,1.7333333333333334,110.95666666666666
Iceland,2018,12.100000000000001,6.944444444444445,3.288888888888889,115.79666666666667
Iceland,2019,10.677777777777777,9.677777777777777,3.0444444444444443,119.52999999999999
Iceland,2020,9.100000000000001,9.18888888888889,1.9666666666666666,127.75999999999999
Ireland,2005,14.033333333333333,8.211111111111112,16.744444444444444,128.17499999999998
Ireland,2006,16.07777777777778,9.477777777777778,18.688888888888886,103.12666666666667
Ireland,2007,14.277777777777779,10.066666666666666,17.677777777777777,107.98666666666668
Ireland,2008,13.055555555555555,8.622222222222222,13.31111111111111,95.86333333333333
Ireland,2009,12.566666666666666,5.533333333333333,16.344444444444445,72.96333333333332
Ireland,2010,10.622222222222224,5.2555555555555555,12.155555555555557,64.15333333333332
Ireland,2011,11.577777777777778,4.388888888888889,11.566666666666666,51.22666666666667
Ireland,2012,9.455555555555556,4.533333333333333,11.733333333333333,44.76666666666667
Ireland,2013,10.022222222222222,5.2444444444444445,12.988888888888889,50.28333333333333
Ireland,2014,9.955555555555556,4.288888888888889,11.733333333333333,63.629999999999995
Ireland,2015,10.122222222222224,5.300000000000001,12.666666666666666,68.62666666666667
Ireland,2016,9.533333333333333,5.411111111111111,11.077777777777778,72.12666666666667
Ireland,2017,10.955555555555556,6.722222222222222,10.555555555555555,80.82666666666667
Ireland,2018,11.066666666666666,7.199999999999999,11.5,88.49000000000001
Ireland,2019,10.022222222222222,7.366666666666666,10.544444444444444,87.85333333333334
Ireland,2020,12.544444444444444,8.5,12.399999999999999,87.45333333333333
Ireland,2023,12.333333333333334,6.844444444444445,10.344444444444445,110.52333333333333
Italy,2010,20.244444444444444,14.666666666666666,11.366666666666667,109.05
Italy,2011,18.333333333333332,16.633333333333333,12.011111111111113,74.16666666666667
Italy,2012,16.08888888888889,14.944444444444445,12.922222222222222,71.0
Italy,2013,16.077777777777776,15.155555555555557,13.777777777777779,65.0
Italy,2014,15.899999999999999,16.0,15.97777777777778,62.43333333333334
Italy,2015,17.655555555555555,17.12222222222222,18.700000000000003,60.300000000000004
Italy,2016,15.811111111111112,14.58888888888889,14.166666666666666,61.833333333333336
Italy,2017,12.455555555555556,11.666666666666666,12.166666666666666,60.699999999999996
Italy,2018,10.711111111111112,11.266666666666667,11.011111111111111,60.5
Italy,2019,11.3,11.399999999999999,8.666666666666666,60.6
Italy,2020,13.433333333333332,14.677777777777777,8.022222222222222,62.43333333333334
Italy,2023,10.777777777777779,9.222222222222221,6.011111111111111,67.06666666666666
Latvia,2006,16.6,22.433333333333334,19.444444444444443,117.25
Latvia,2007,19.72222222222222,29.755555555555556,24.566666666666666,118.62
Latvia,2008,22.4,30.522222222222222,25.211111111111112,108.06333333333333
Latvia,2009,17.2,25.51111111111111,21.01111111111111,55.083333333333336
Latvia,2010,17.72222222222222,22.655555555555555,17.01111111111111,56.449999999999996
Latvia,2011,13.433333333333334,17.61111111111111,13.577777777777778,69.85000000000001
Latvia,2012,13.655555555555557,21.044444444444444,14.255555555555556,69.35666666666667
