currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Rye,Czechia,2020,14.52,10.791256830601093,761.4,16.56,16.3
Euro,Rye,Czechia,2021,15.91,9.351506849315069,680.7,14.52,16.56
Euro,Rye,Czechia,2022,27.84,10.772328767123287,683.1,15.91,14.52
Euro,Rye,Czechia,2023,24.2,11.405753424657536,771.4,27.84,15.91
Euro,Rye,Czechia,2024,18.71,11.671038251366122,714.6,24.2,27.84
Euro,Soft wheat,Czechia,2017,14.51,10.092054794520548,613.3,13.69,15.84
Euro,Soft wheat,Czechia,2018,15.99,11.403561643835618,412.0,14.51,13.69
Euro,Soft wheat,Czechia,2019,16.95,11.113698630136986,604.9,15.99,14.51
Euro,Soft wheat,Czechia,2020,15.76,10.791256830601093,761.4,16.95,15.99
Euro,Soft wheat,Czechia,2021,19.58,9.351506849315069,680.7,15.76,16.95
Euro,Soft wheat,Czechia,2022,30.98,10.772328767123287,683.1,19.58,15.76
Euro,Soft wheat,Czechia,2023,24.29,11.405753424657536,771.4,30.98,19.58
Euro,Soft wheat,Czechia,2024,18.99,11.671038251366122,714.6,24.29,30.98
Euro,Barley,Denmark,2017,14.76,9.23890410958904,838.8,13.97,16.16
Euro,Barley,Denmark,2018,17.24,10.105479452054794,472.9,14.76,13.97
Euro,Barley,Denmark,2019,17.3,10.11917808219178,729.6,17.24,14.76
Euro,Barley,Denmark,2020,15.47,10.451639344262295,632.6,17.3,17.24
Euro,Barley,Denmark,2021,18.49,9.337260273972602,679.5,15.47,17.3
Euro,Barley,Denmark,2022,27.25,9.875068493150684,554.8,18.49,15.47
Euro,Barley,Denmark,2023,25.15,9.763287671232876,829.3,27.25,18.49
Euro,Barley,Denmark,2024,21.72,10.08224043715847,704.6,25.15,27.25
Euro,Feed barley,Denmark,2017,14.76,9.23890410958904,838.8,13.97,16.16
Euro,Feed barley,Denmark,2018,17.24,10.105479452054794,472.9,14.76,13.97
Euro,Feed barley,Denmark,2019,17.3,10.11917808219178,729.6,17.24,14.76
Euro,Feed barley,Denmark,2020,15.47,10.451639344262295,632.6,17.3,17.24
Euro,Feed barley,Denmark,2021,18.49,9.337260273972602,679.5,15.47,17.3
Euro,Feed barley,Denmark,2022,27.25,9.875068493150684,554.8,18.49,15.47
Euro,Feed barley,Denmark,2023,25.15,9.763287671232876,829.3,27.25,18.49
Euro,Feed barley,Denmark,2024,21.72,10.08224043715847,704.6,25.15,27.25
Euro,Rye,Denmark,2017,13.4,9.23890410958904,838.8,12.39,13.21
Euro,Rye,Denmark,2018,16.01,10.105479452054794,472.9,13.4,12.39
Euro,Rye,Denmark,2019,15.28,10.11917808219178,729.6,16.01,13.4
Euro,Rye,Denmark,2020,14.37,10.451639344262295,632.6,15.28,16.01
