name,domains,web_pages,country,alpha_two_code,state-province
Eastern Mediterranean University,['emu.edu.tr'],['http://www.emu.edu.tr/'],Cyprus,CY,
European University Cyprus,['euc.ac.cy'],['http://www.euc.ac.cy/'],Cyprus,CY,
Frederick University,['frederick.ac.cy'],['http://www.frederick.ac.cy/'],Cyprus,CY,
Girne American University,['gau.edu.tr'],['http://www.gau.edu.tr/'],Cyprus,CY,
Intercollege,['intercollege.ac.cy'],['http://www.intercollege.ac.cy/'],Cyprus,CY,
European University of Lefke,['lefke.edu.tr'],['http://www.lefke.edu.tr/'],Cyprus,CY,
Near East University,['neu.edu.tr'],['http://www.neu.edu.tr/'],Cyprus,CY,
Open University of Cyprus,['ouc.ac.cy'],['http://www.ouc.ac.cy/'],Cyprus,CY,
University of Cyprus,['ucy.ac.cy'],['http://www.ucy.ac.cy/'],Cyprus,CY,
University of Nicosia,['unic.ac.cy'],['http://www.unic.ac.cy/'],Cyprus,CY,
Middle East Technical University Northern Cyprus Campus,['ncc.metu.edu.tr'],['https://ncc.metu.edu.tr/'],Cyprus,CY,Guzelyurt
Anglo-American University,['aauni.edu'],['http://www.aauni.edu/'],Czech Republic,CZ,
Charles University Prague,['cuni.cz'],['http://www.cuni.cz/'],Czech Republic,CZ,
Czech Technical University of Prague,"['cvut.cz', 'fa.cvut.cz', 'fit.cvut.cz']",['http://www.cvut.cz/'],Czech Republic,CZ,
Czech University of Agriculture Prague,['czu.cz'],['http://www.czu.cz/'],Czech Republic,CZ,
"Academy of Performing Arts, Film and TV Fakulty",['famu.cz'],['http://www.famu.cz/'],Czech Republic,CZ,
University of South Bohemia,['jcu.cz'],['http://www.jcu.cz/'],Czech Republic,CZ,
Mendel University of Agriculture and Forestry,['mendelu.cz'],['https://www.mendelu.cz/'],Czech Republic,CZ,
Prague International University,['mpu-prague.cz'],['http://www.mpu-prague.cz/'],Czech Republic,CZ,
Masaryk University,['muni.cz'],['https://www.muni.cz/'],Czech Republic,CZ,
University of Ostrava,['osu.cz'],['http://www.osu.cz/'],Czech Republic,CZ,
Prague College,['praguecollege.cz'],['http://www.praguecollege.cz/'],Czech Republic,CZ,
Silesian University,['slu.cz'],['http://www.slu.cz/'],Czech Republic,CZ,
Tiffin University Prague,['tiffinprague.cz'],['http://www.tiffinprague.cz/'],Czech Republic,CZ,
University of Jan Evangelista Purkyne,['ujep.cz'],['http://www.ujep.cz/'],Czech Republic,CZ,
"University of Northern Virginia, Prague Campus",['unva.cz'],['http://www.unva.cz/'],Czech Republic,CZ,
University of New York in Prague,['unyp.cz'],['http://www.unyp.cz/'],Czech Republic,CZ,
University of Pardubice,['upce.cz'],['http://www.upce.cz/'],Czech Republic,CZ,
Palacký University Olomouc,['upol.cz'],['https://www.upol.cz/'],Czech Republic,CZ,
Tomas Bata University in Zlin,['utb.cz'],['http://www.utb.cz/'],Czech Republic,CZ,
University of Veterinary and Pharmaceutical Science,['vfu.cz'],['http://www.vfu.cz/'],Czech Republic,CZ,
Technical University of Mining and Metallurgy Ostrava,['vsb.cz'],['http://www.vsb.cz/'],Czech Republic,CZ,
Prague Institute of Chemical Technology,['vscht.cz'],['http://www.vscht.cz/'],Czech Republic,CZ,
Cevro Institut College,['vsci.cz'],['http://www.vsci.cz/'],Czech Republic,CZ,
University of Economics Prague,['vse.cz'],['http://www.vse.cz/'],Czech Republic,CZ,
Technical University of Liberec,['vslib.cz'],['http://www.vslib.cz/'],Czech Republic,CZ,
University of Education Hradec Kralove,['vsp.cz'],['http://www.vsp.cz/'],Czech Republic,CZ,
Brno University of Technology,"['vutbr.cz', 'vut.cz']","['https://www.vutbr.cz/', 'https://www.vut.cz/']",Czech Republic,CZ,
University of West Bohemia,['zcu.cz'],['http://www.zcu.cz/'],Czech Republic,CZ,
Aarhus School of Architecture,['a-aarhus.dk'],['http://www.a-aarhus.dk/'],Denmark,DK,
Aalborg Business College,['ah.dk'],['http://www.ah.dk/'],Denmark,DK,
Aarhus Technical College,['ats.dk'],['http://www.ats.dk/'],Denmark,DK,
Aalborg University,"['auc.dk', 'aau.dk', 'student.aau.dk']",['http://www.auc.dk/'],Denmark,DK,
Aarhus University,['au.dk'],['http://www.au.dk/'],Denmark,DK,
Copenhagen Business School,['cbs.dk'],['http://www.cbs.dk/'],Denmark,DK,
Royal School of Library and Information Science,['db.dk'],['http://www.db.dk/'],Denmark,DK,
Danish Business Academy,['ddea.dk'],['http://www.ddea.dk/'],Denmark,DK,
Royal Danish School of Pharmacy,['dfh.dk'],['http://www.dfh.dk/'],Denmark,DK,
Royal Danish Academy of Music,['dkdm.dk'],['http://www.dkdm.dk/'],Denmark,DK,
Royal Danish School of Educational Sciences,['dlh.dk'],['http://www.dlh.dk/'],Denmark,DK,
Danish University of Education,['dpu.dk'],['http://www.dpu.dk/'],Denmark,DK,
Technical University of Denmark,['dtu.dk'],['http://www.dtu.dk/'],Denmark,DK,
Aarhus School of Business,['hha.dk'],['http://www.hha.dk/'],Denmark,DK,
Southern Denmark Business School,['hhs.dk'],['http://www.hhs.dk/'],Denmark,DK,
